body,size
11139,2753051850
11149,2752903990
11140,2752896302
11135,2751782281
11148,2751251608
11138,2750944525
11143,2750251962
11137,2749819407
11154,2748664885
11142,2747284260
11146,2746680374
11152,2746481375
11141,2745579589
11155,2745521890
11170,2745135903
11144,2744870866
10092,2744383867
11145,2744068909
11147,2742826116
11153,2741369342
11150,2741165269
11160,2740654188
11158,2738719663
11161,2738381129
10424,2738355472
11159,2736402673
11166,2733752792
11163,2732909367
11162,2725122823
11168,2725049460
11169,2724184765
11171,2723468603
11164,2723276110
11173,2723023738
10595,2722857865
11165,2721197524
11167,2719321476
11179,2719217753
11177,2715168760
11176,2709316003
11175,2708987816
11172,2708758983
11189,2708460123
11184,2708448818
11174,2707820413
11198,2707574166
11193,2706083662
11178,2704306002
11183,2704107816
11180,2703414711
11199,2701558444
11197,2700140925
11185,2698768826
11182,2698641057
11181,2696778905
11192,2694113101
11186,2693489007
11188,2692927549
11191,2692214699
11190,2691057277
11240,2689022704
11187,2688369229
10442,2682430323
11254,2682269442
11195,2681287676
11194,2680442765
11203,2678804425
11196,2677644696
11217,2677601039
11234,2676866098
11291,2676790108
11206,2674733258
11200,2674369389
11207,2674189591
11205,2673998260
11211,2672999928
11201,2672714507
11209,2672455797
11202,2670737422
11204,2667958197
11212,2667824517
11226,2667082304
11285,2666855012
11208,2666567028
11213,2665786954
11214,2665733518
11215,2665359447
11210,2661927188
11216,2661898804
10665,2658806495
11223,2657312780
11218,2656779178
11236,2656321409
11231,2655033338
11222,2654339047
11225,2654206085
11219,2652184298
11224,2651888220
11228,2650456326
11220,2650220876
11221,2649988249
11227,2645379023
11232,2644729622
11229,2643915643
11233,2643331946
11230,2642690587
11252,2642654507
11238,2641729440
11239,2641248058
11237,2637797848
11250,2637222735
11251,2637149255
11241,2636900734
11235,2636827345
11255,2635155342
11244,2633498094
11249,2632995037
11247,2632660685
11248,2630529969
11245,2629962848
11261,2629605882
11243,2629507610
11246,2629350676
11242,2628679017
11257,2626633511
11303,2624068608
11259,2621076384
11253,2621008649
11256,2618861888
11260,2618203048
11258,2617475216
11341,2616975283
