body,boxed_size,full_size
44168512878,28472,28472
43347763132,28466,55494
43761656393,28446,28446
44164895566,28376,28376
43754616482,28372,28372
44168472779,28370,28370
43758115487,28349,28349
44164935863,28341,28341
44168513745,28336,28336
44164931343,28322,150044
43761653145,28294,28294
44172046878,28255,28255
44172050146,28254,28254
44172049005,28209,28209
43758074999,28109,28109
44168469615,28106,28106
43761695183,28037,28037
43758078631,28009,28009
43754581039,27975,27975
44168509498,27960,27960
43758152696,27922,27922
43758074623,27915,27915
44168473298,27838,111172
44168512354,27832,27832
44168469210,27773,27773
841369744831,27766,33810859
43351340816,27747,27747
43761693491,27732,27732
43761652488,27711,27711
43758112255,27691,27691
43761650268,27666,27666
44172007948,27648,27648
44168469817,27591,27591
43758156597,27590,27590
43347803259,27506,27506
43758151667,27480,27547
43754537682,27460,27460
43347802775,27370,36501
44168510535,27318,27318
44172005908,27299,27299
43758112578,27298,27298
43351340493,27279,40536
43761652714,27252,60728
44168470295,27250,27250
44168473311,27195,27195
43347803416,27168,27168
43758153339,27154,48111
44172048399,27145,27145
44172046550,27063,59693
44168473390,27057,27057
43761651765,27043,27043
44168473264,26988,121787
43758119534,26985,26985
43751124109,26965,775331
43758155577,26955,26955
43351300932,26873,26873
44164934079,26854,62384
44172044043,26830,116572
43761690175,26806,26806
44172010274,26778,26778
43758152438,26742,26742
44168470631,26723,26723
43754617202,26663,26663
44172044069,26654,26654
43754579247,26639,40033
44168509229,26625,26625
44172044017,26612,26612
44172048139,26602,56111
43758151706,26557,26557
44172044413,26551,26551
43758119540,26530,26530
43761690950,26529,26529
43761690297,26485,26485
43758119114,26445,26445
44168470317,26386,26386
44172045559,26355,26355
43761654329,26304,26304
44168429665,26289,118669
43754617201,26284,26284
44168433596,26245,26245
